Trans Date,Debit,Recharge Type,Channel,recipient
12-Apr-21,100.0,Call Recharge,USSD,My Number
13-Apr-21,100.0,Call Recharge,USSD,My Number
13-Apr-21,1000.0,Call Recharge,USSD,My Number
15-Apr-21,1500.0,Weekly Sub,USSD,My Number
17-Apr-21,100.0,Call Recharge,USSD,My Number
18-Apr-21,500.0,Call Recharge,USSD,My Number
19-Apr-21,500.0,Call Recharge,USSD,My Number
19-Apr-21,100.0,Call Recharge,USSD,My Number
22-Apr-21,100.0,Call Recharge,USSD,My Number
23-Apr-21,100.0,Call Recharge,USSD,My Number
23-Apr-21,300.0,Call Recharge,USSD,My Number
27-Apr-21,100.0,Call Recharge,USSD,My Number
27-Apr-21,2200.0,Monthly Sub,USSD,My Number
29-Apr-21,1100.0,Call Recharge,USSD,My Number
29-Apr-21,200.0,Call Recharge,GTWORLD,My Number
03-May-21,200.0,Call Recharge,USSD,Friends
03-May-21,1500.0,Weekly Sub,USSD,My Number
04-May-21,100.0,Call Recharge,USSD,My Number
04-May-21,1500.0,Weekly Sub,GTWORLD,Friends
05-May-21,200.0,Call Recharge,GTWORLD,My Number
06-May-21,1500.0,Weekly Sub,USSD,My Number
07-May-21,100.0,Call Recharge,USSD,My Number
08-May-21,1500.0,Weekly Sub,USSD,My Number
11-May-21,1500.0,Weekly Sub,USSD,My Number
12-May-21,100.0,Call Recharge,USSD,My Number
15-May-21,100.0,Call Recharge,USSD,My Number
15-May-21,1500.0,Weekly Sub,USSD,My Number
17-May-21,1500.0,Weekly Sub,USSD,My Number
18-May-21,200.0,Call Recharge,USSD,My Number
20-May-21,100.0,Call Recharge,USSD,My Number
21-May-21,1000.0,Call Recharge,USSD,My Number
23-May-21,1500.0,Weekly Sub,USSD,My Number
24-May-21,100.0,Call Recharge,GTWORLD,Friends
24-May-21,100.0,Call Recharge,USSD,My Number
26-May-21,1500.0,Weekly Sub,USSD,My Number
27-May-21,500.0,Call Recharge,USSD,My Number
27-May-21,500.0,Call Recharge,USSD,My Number
28-May-21,100.0,Call Recharge,USSD,My Number
30-May-21,100.0,Call Recharge,USSD,My Number
08-Jun-21,1499.03,Call Recharge,USSD,My Number
09-Jun-21,1500.0,Weekly Sub,USSD,My Number
10-Jun-21,1500.0,Weekly Sub,GTWORLD,Friends
10-Jun-21,200.0,Call Recharge,USSD,My Number
10-Jun-21,1500.0,Weekly Sub,GTWORLD,Friends
10-Jun-21,1499.03,Call Recharge,GTWORLD,My Number
10-Jun-21,500.0,Call Recharge,USSD,My Number
10-Jun-21,500.0,Call Recharge,USSD,My Number
10-Jun-21,1500.0,Weekly Sub,USSD,My Number
11-Jun-21,1500.0,Weekly Sub,USSD,My Number
13-Jun-21,1500.0,Weekly Sub,USSD,My Number
14-Jun-21,1500.0,Weekly Sub,USSD,My Number
15-Jun-21,100.0,Call Recharge,USSD,My Number
15-Jun-21,1500.0,Weekly Sub,USSD,My Number
15-Jun-21,1500.0,Weekly Sub,USSD,My Number
16-Jun-21,100.0,Call Recharge,USSD,My Number
17-Jun-21,1499.03,Call Recharge,GTWORLD,My Number
18-Jun-21,100.0,Call Recharge,USSD,My Number
18-Jun-21,1500.0,Weekly Sub,USSD,My Number
21-Jun-21,100.0,Call Recharge,USSD,My Number
21-Jun-21,1500.0,Weekly Sub,USSD,My Number
22-Jun-21,100.0,Call Recharge,USSD,My Number
22-Jun-21,1500.0,Weekly Sub,USSD,My Number
23-Jun-21,1500.0,Weekly Sub,USSD,My Number
24-Jun-21,100.0,Call Recharge,USSD,My Number
25-Jun-21,100.0,Call Recharge,USSD,My Number
25-Jun-21,100.0,Call Recharge,USSD,My Number
25-Jun-21,500.0,Call Recharge,USSD,My Number
25-Jun-21,1500.0,Weekly Sub,USSD,My Number
25-Jun-21,100.0,Call Recharge,USSD,My Number
27-Jun-21,500.0,Call Recharge,USSD,My Number
27-Jun-21,100.0,Call Recharge,USSD,My Number
27-Jun-21,500.0,Call Recharge,USSD,My Number
28-Jun-21,100.0,Call Recharge,USSD,My Number
28-Jun-21,100.0,Call Recharge,USSD,My Number
28-Jun-21,500.0,Call Recharge,USSD,My Number
30-Jun-21,100.0,Call Recharge,USSD,My Number
30-Jun-21,500.0,Call Recharge,USSD,My Number
01-Jul-21,100.0,Call Recharge,USSD,My Number
01-Jul-21,500.0,Call Recharge,USSD,My Number
02-Jul-21,100.0,Call Recharge,USSD,My Number
03-Jul-21,100.0,Call Recharge,USSD,My Number
04-Jul-21,100.0,Call Recharge,USSD,My Number
04-Jul-21,500.0,Call Recharge,USSD,My Number
04-Jul-21,1499.03,Call Recharge,GTWORLD,Friends
05-Jul-21,1499.03,Call Recharge,GTWORLD,Friends
05-Jul-21,3000.0,Monthly Sub,USSD,My Number
05-Jul-21,1500.0,Weekly Sub,USSD,My Number
06-Jul-21,100.0,Call Recharge,USSD,My Number
06-Jul-21,100.0,Call Recharge,USSD,My Number
06-Jul-21,100.0,Call Recharge,USSD,My Number
08-Jul-21,500.0,Call Recharge,USSD,My Number
09-Jul-21,100.0,Call Recharge,USSD,My Number
09-Jul-21,200.0,Call Recharge,GTWORLD,My Number
10-Jul-21,100.0,Call Recharge,USSD,My Number
10-Jul-21,500.0,Call Recharge,USSD,My Number
12-Jul-21,100.0,Call Recharge,USSD,My Number
12-Jul-21,500.0,Call Recharge,USSD,My Number
13-Jul-21,100.0,Call Recharge,USSD,My Number
13-Jul-21,500.0,Call Recharge,USSD,My Number
14-Jul-21,500.0,Call Recharge,USSD,My Number
14-Jul-21,100.0,Call Recharge,USSD,My Number
15-Jul-21,100.0,Call Recharge,USSD,My Number
15-Jul-21,500.0,Call Recharge,USSD,My Number
16-Jul-21,100.0,Call Recharge,USSD,My Number
16-Jul-21,500.0,Call Recharge,USSD,My Number
16-Jul-21,1500.0,Weekly Sub,GTWORLD,Friends
17-Jul-21,100.0,Call Recharge,USSD,My Number
17-Jul-21,500.0,Call Recharge,USSD,My Number
18-Jul-21,500.0,Call Recharge,USSD,My Number
19-Jul-21,100.0,Call Recharge,USSD,My Number
19-Jul-21,500.0,Call Recharge,USSD,My Number
20-Jul-21,500.0,Call Recharge,USSD,My Number
20-Jul-21,100.0,Call Recharge,USSD,My Number
21-Jul-21,100.0,Call Recharge,USSD,My Number
22-Jul-21,1500.0,Weekly Sub,USSD,My Number
29-Jul-21,500.0,Call Recharge,USSD,My Number
29-Jul-21,100.0,Call Recharge,USSD,My Number
